index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17
0,15180.0,48.0,-72.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,14720.0,33.0,-70.0,-79.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0,0,0,0
2,8050.0,30.0,-81.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,28820.0,171.0,-23.0,40.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0,0,0,0
4,12640.0,57.0,-63.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,63760.0,195.0,-73.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
6,207930.0,614.0,-6.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,700.0,0,0,1,0
7,48990.0,194.0,-27.0,-3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0,0,0,0
8,100190.0,303.0,54.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9,247620.0,675.0,4.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0,0,1,0
10,41950.0,135.0,-39.0,-36.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0,0,0,0
11,53250.0,140.0,-19.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
12,166180.0,448.0,-30.0,-19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,0,0,1,0
13,64540.0,215.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0,0,0,0
14,75670.0,207.0,18.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,0,0,0,0
15,225040.0,575.0,-3.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7000.0,6000.0,0,1,1,0
16,31290.0,117.0,-52.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
17,22890.0,81.0,-63.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
18,13170.0,59.0,-77.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
